lcl|ORF476_fragment12:23216:23419,WP_006585425.1,88.889,54,6,0,14,67,1,54,2.38e-23,100,94.44
lcl|ORF476_fragment12:23216:23419,WP_027825326.1,81.481,54,10,0,14,67,1,54,1.62e-20,93.2,92.59
lcl|ORF476_fragment12:23216:23419,WP_022091370.1,69.643,56,17,0,12,67,5,60,6.05e-17,83.2,83.93
lcl|ORF476_fragment12:23216:23419,WP_006586115.1,69.643,56,17,0,12,67,5,60,6.11e-17,83.2,83.93
lcl|ORF476_fragment12:23216:23419,WP_234977174.1,66.667,54,18,0,14,67,1,54,3.20e-15,78.2,83.33
lcl|ORF476_fragment12:23216:23419,WP_167802967.1,66.667,54,18,0,14,67,1,54,3.27e-15,78.2,83.33
lcl|ORF476_fragment12:23216:23419,WP_167802490.1,66.667,54,18,0,14,67,1,54,3.27e-15,78.2,83.33
lcl|ORF476_fragment12:23216:23419,WP_167494281.1,66.667,54,18,0,14,67,1,54,3.30e-15,78.2,83.33
lcl|ORF476_fragment12:23216:23419,WP_126806381.1,57.692,52,22,0,16,67,9,60,1.79e-10,63.9,76.92
lcl|ORF476_fragment12:23216:23419,WP_099208533.1,58.824,51,21,0,17,67,4,54,1.46e-09,61.2,72.55
lcl|ORF476_fragment12:23216:23419,WP_072469550.1,58.824,51,21,0,17,67,4,54,1.66e-09,61.2,72.55
lcl|ORF476_fragment12:23216:23419,WP_236153736.1,54.902,51,23,0,17,67,5,55,1.74e-09,58.2,68.63
lcl|ORF476_fragment12:23216:23419,WP_210729343.1,43.103,58,33,0,10,67,2,59,3.67e-09,61.2,72.41
lcl|ORF476_fragment12:23216:23419,WP_131748276.1,56.863,51,22,0,17,67,4,54,3.81e-09,60.1,72.55
lcl|ORF476_fragment12:23216:23419,WP_154266258.1,46.552,58,31,0,10,67,2,59,4.60e-09,60.8,70.69
lcl|ORF476_fragment12:23216:23419,WP_229035038.1,46.552,58,31,0,10,67,2,59,5.27e-09,60.5,70.69
lcl|ORF476_fragment12:23216:23419,WP_007420561.1,54.902,51,23,0,17,67,12,62,5.75e-09,59.7,74.51
lcl|ORF476_fragment12:23216:23419,WP_182598066.1,50.980,51,25,0,17,67,4,54,1.16e-08,59.7,76.47
lcl|ORF476_fragment12:23216:23419,WP_019252079.1,48.148,54,28,0,14,67,1,54,1.70e-08,59.3,75.93
lcl|ORF476_fragment12:23216:23419,WP_153705308.1,48.148,54,28,0,14,67,1,54,1.93e-08,58.9,75.93
lcl|ORF476_fragment12:23216:23419,WP_261656889.1,48.980,49,25,0,19,67,6,54,1.97e-08,58.9,75.51
lcl|ORF476_fragment12:23216:23419,WP_168675961.1,48.980,49,25,0,19,67,6,54,2.07e-08,58.9,75.51
lcl|ORF476_fragment12:23216:23419,WP_135803250.1,52.941,51,24,0,16,66,2,52,2.17e-08,58.2,70.59
lcl|ORF476_fragment12:23216:23419,WP_265483677.1,53.846,52,24,0,16,67,2,53,2.19e-08,55.8,67.31
lcl|ORF476_fragment12:23216:23419,WP_182578642.1,48.148,54,28,0,14,67,1,54,2.22e-08,58.9,74.07
lcl|ORF476_fragment12:23216:23419,WP_182599992.1,48.148,54,28,0,14,67,1,54,2.26e-08,58.9,74.07
